px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.52645	-2.81522	-2.77157	1.95972	1.16388	6.45883	-2.92313	4.64378	-11.7442	1.47701e+15	4.65	7.90505e-323
6.62515	-3.09801	-2.77145	2.06857	1.14595	6.49154	-3.20004	4.6	-11.65	-0.909847	1.81971	7.90505e-323
6.75443	-3.36624	-2.76354	2.17309	1.12484	6.70146	-3.53446	4.54975	-11.5706	1.47701e+15	4.55	7.90505e-323
6.89133	-3.62796	-2.76327	2.26835	1.10024	6.70956	-3.81739	4.5	-11.35	-1.0008	4.0032	7.90505e-323
7.02664	-3.87396	-2.74773	2.34836	1.06642	6.73758	-4.06653	4.44059	-11.1496	1.47701e+15	4.45	7.90505e-323
7.2151	-4.13632	-2.78994	2.43995	1.0467	7.10395	-4.49091	4.45	-11.05	0	1.81614	7.90505e-323
7.37806	-4.36945	-2.78139	2.50827	1.01202	7.02393	-4.64459	4.45136	-10.93	1.47701e+15	4.45	7.90505e-323
7.53995	-4.58237	-2.75925	2.56601	0.976295	7.24619	-4.97656	4.45	-10.8	0	2.72555	7.90505e-323
7.69516	-4.82629	-2.80397	2.60219	0.933168	7.22054	-5.09604	4.45788	-10.6457	1.47701e+15	4.45	7.90505e-323
7.8557	-5.01298	-2.75262	2.65188	0.902166	7.40989	-5.38617	4.45	-10.5	0	2.729	7.90505e-323
8.02205	-5.25277	-2.75885	2.67876	0.853516	7.39379	-5.52612	4.44057	-10.3382	1.47701e+15	4.45	7.90505e-323
8.20599	-5.44332	-2.70873	2.72413	0.825173	7.84699	-6.00602	4.5	-10.2	0.908962	2.72687	7.90505e-323
8.3891	-5.69213	-2.71926	2.73493	0.770758	7.89511	-6.1416	4.54925	-10.0439	1.47701e+15	4.55	7.90505e-323
8.58792	-5.9569	-2.73749	2.73618	0.713221	8.2234	-6.53735	4.6	-9.9	0.909756	2.72927	7.90505e-323
8.76869	-6.15955	-2.68903	2.76003	0.684037	8.32206	-6.77114	4.63755	-9.74952	1.47701e+15	4.65	7.90505e-323
8.93246	-6.3969	-2.66071	2.75827	0.637365	8.2713	-6.91098	4.7	-9.6	0.90859	2.72578	7.90505e-323
9.11083	-6.68261	-2.66865	2.7317	0.572688	8.54154	-7.25975	4.74589	-9.4609	1.47701e+15	4.75	7.90505e-323
9.27976	-6.92248	-2.62353	2.72861	0.537203	8.83598	-7.68162	4.85	-9.3	1.81967	2.72952	7.90505e-323
9.44744	-7.20825	-2.62606	2.69493	0.476139	8.77916	-7.72457	4.94849	-9.13867	1.47701e+15	4.95	7.90505e-323
9.60831	-7.50192	-2.62465	2.65614	0.420075	9.1081	-8.22433	5	-9.05	0.999884	1.99977	7.90505e-323
9.72923	-7.73981	-2.55582	2.6392	0.389917	9.13825	-8.4037	5.04121	-8.94979	1.47701e+15	5.05	7.90505e-323
9.87205	-8.01739	-2.53473	2.60551	0.343937	9.22081	-8.59155	5.15	-8.8	1.81805	2.72708	7.90505e-323
10	-8.30782	-2.51188	2.56345	0.296439	9.30208	-8.90831	5.26887	-8.63564	1.47701e+15	5.25	7.90505e-323
10.1163	-8.60386	-2.5036	2.5139	0.247485	9.39993	-9.18842	5.35	-8.55	1.99956	1.99957	7.90505e-323
10.2154	-8.89705	-2.48264	2.46352	0.202609	9.48751	-9.46421	5.44864	-8.42738	1.47701e+15	5.45	7.90505e-323
10.3099	-9.19776	-2.47209	2.40993	0.158578	9.57122	-9.75525	5.5	-8.35	0.909045	1.81807	7.90505e-323
10.3663	-9.48142	-2.4369	2.35317	0.1166	9.61433	-9.96417	5.53862	-8.24357	1.47701e+15	5.55	7.90505e-323
10.4019	-9.78563	-2.38317	2.28454	0.0695145	9.77731	-10.3295	5.7	-8.1	2.72608	2.72608	7.90505e-323
10.4842	-10.1061	-2.38909	2.2292	0.0346864	9.89592	-10.7137	5.85094	-7.95601	1.47701e+15	5.85	7.90505e-323
10.5	-10.4228	-2.35799	2.15308	-0.0118887	9.84397	-10.9287	5.95	-7.85	1.81801	1.81801	7.90505e-323
10.5132	-10.7079	-2.34287	2.09058	-0.0463567	9.74773	-11.0482	6.05986	-7.73559	1.47701e+15	6.05	7.90505e-323
10.5273	-11.0053	-2.34375	2.02972	-0.0758421	9.79495	-11.4686	6.15	-7.65	1.81798	1.81798	7.90505e-323
