px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
77.1118	24.9778	1.84079	-0.158754	-0.187267	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	N/A	0.370866
79.0894	24.9975	2.0304	0.00737077	0.0314356	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	3.93396	N/A
79.0853	24.9979	1.85641	0.00248997	0.027526	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	N/A	0.257556
80.8119	24.8791	1.69487	-0.061993	-0.0277557	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.324555	N/A
80.8259	24.8828	1.60544	-0.0614516	-0.0292374	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	N/A	1.11391
82.6151	24.6465	1.89608	-0.158007	-0.0685398	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.346118	N/A
82.6002	24.6413	1.64359	-0.170179	-0.0805245	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	N/A	0.454562
84.1696	24.5328	1.5774	-0.0833614	0.0168725	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.70458	N/A
84.1745	24.5333	1.60635	-0.0816787	0.0181287	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	N/A	0.0619505
85.6467	23.8537	1.47502	-0.475896	-0.222875	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	4.47944	N/A
85.6737	23.8636	1.69149	-0.459123	-0.206612	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	N/A	1.15506
86.9378	23.5	1.18898	-0.395993	-0.0511019	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	2.23751	N/A
86.9846	23.5088	1.37375	-0.366684	-0.0316542	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	N/A	4.67386
88.8009	22.7879	2.19635	-0.380654	-0.0197787	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.00928	N/A
88.7501	22.7723	1.62657	-0.441127	-0.0769995	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	N/A	3.36168
89.5248	22.3092	0.656511	-0.549723	-0.102433	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.89864	N/A
89.5615	22.3117	1.07683	-0.526152	-0.0842202	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	N/A	2.00682
90.5125	21.6712	1.1886	-0.630791	-0.0956749	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.043969	N/A
90.5499	21.6787	1.4318	-0.58926	-0.0641336	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	N/A	2.25704
91.7088	21.1002	1.28008	-0.474065	0.0325918	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.683152	N/A
91.7277	21.1066	1.17223	-0.466462	0.0335805	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	N/A	2.0801
92.8408	20.9171	1.11234	-0.135042	0.200889	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	2.35332	N/A
92.8631	20.9239	0.970524	-0.123321	0.205549	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	N/A	2.80903
93.4817	20.3021	0.469682	-0.549313	-0.131704	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	10.0375	N/A
93.5244	20.3143	1.02357	-0.532973	-0.113847	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	N/A	2.8998
95.2654	19.6286	2.19215	-0.220197	0.111721	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	8.27954	N/A
95.1646	19.6196	1.06457	-0.359932	0.0163077	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	N/A	13.0984
95.5209	19.6774	0.0707491	-0.151991	0.112737	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	3.18927	N/A
95.554	19.6695	0.735342	-0.149562	0.114449	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	N/A	2.81641
96.2686	19.2316	0.77508	-0.500154	-0.123568	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	4.97852	N/A
